gene_symbol,uniprot_id,compound_id,smiles,relation,value,units
GRIN1,Q05586,CHEMBL284237,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,=,6.8,nM
GRIN1,Q05586,CHEMBL660,NC12CC3CC(CC(C3)C1)C2,=,10500.0,nM
GRIN1,Q05586,CHEMBL275528,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,=,23.0,nM
GRIN1,Q05586,CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,=,1680.0,nM
GRIN1,Q05586,CHEMBL900,Cc1ccccc1C(OCCN(C)C)c1ccccc1,=,6000.0,nM
GRIN1,Q05586,CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,=,11.0,nM
GRIN1,Q05586,CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,=,11.0,nM
GRIN1,Q05586,CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,=,30.0,nM
GRIN1,Q05586,CHEMBL182066,O=C(Nc1ccc2nc(O)oc2c1)C(=O)N1CCC(Cc2ccc(F)cc2)CC1,=,6.0,nM
GRIN1,Q05586,CHEMBL182066,O=C(Nc1ccc2nc(O)oc2c1)C(=O)N1CCC(Cc2ccc(F)cc2)CC1,=,4.0,nM
GRIN1,Q05586,CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,=,7.0,nM
GRIN1,Q05586,CHEMBL305187,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,=,110.0,nM
